identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-216,00-0007,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.В.Великого. 68,null,49.356292,23.537022,Береза,1,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0008,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Івана Франка,Сквер біля головного корпусу ДДПУ ім.Івана Франка,49.354797,23.501746,null,20,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0009,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. В.Великого. 56,null,49.355450,23.531046,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0010,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Шевченка. 31,null,49.353762,23.498861,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0011,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Бориславська. 47,null,49.344578,23.499471,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0012,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Трускавецька,null,49.344040,23.508049,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0013,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Мазепи,null,49.351659,23.510361,Береза,1,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0014,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Стрийська,null,49.350778,23.516117,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0015,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Грушевського,null,49.353399,23.515967,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
00-216,00-0016,14.12.2018,Департамент міського господарства,216,14.12.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Чапельського,null,49.355432,23.536158,null,NA,,,29.12.2018,,Надіслано на виконання підрядником
