identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-219,00-0001,2018-12-18,Департамент міського господарства,219,2018-12-18,КП “Комбінат міського господарства”,32300054,Україна,Львівська область,Дрогобич,вул. 22 січня,Кладовище,49.377616,23.512936,Береза,1,1,0,04.01.2019,2018,Замовлення виконано підрядником
00-216,00-0002,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Театральна, 2",На початку вул.Лепкого,49.350778,23.508931,null,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0003,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. С.Стрільців, 26",null,49.352983,23.498001,Береза,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0004,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого, 24",null,49.356718,23.515964,Черешня,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0005,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Чмоли, 12",null,49.357274,23.505868,Яблуня,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0006,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. П.Орлика,Поворот до ДМЦЗ,49.366375,23.514470,null,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0007,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Нижанківського,null,49.354985,23.504945,null,3,3,0,12/29/2018,2018,Надіслано на виконання підрядником
00-58-р,00-0008,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Н. Броварський,,Україна,Львівська область,Дрогобич,вул.Рихтицька,null,49.356313,23.543293,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0009,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Л. Калапунь ,,Україна,Львівська область,Дрогобич,"вул. В.Великого, 42.",null,49.355443,23.523380,Клен,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0010,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,І. Лукавський,,Україна,Львівська область,Дрогобич,вул. П.Орлика,null,49.370441,23.515731,Черешня,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0011,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,А. Колодій ,,Україна,Львівська область,Дрогобич,"вул. Чапельського, 3.",null,49.355915,23.536196,Черешня,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0012,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,А. Колодій ,,Україна,Львівська область,Дрогобич,"вул. Чапельського, 3.",null,49.355743,23.536255,Алича,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0013,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Я. Баковський,,Україна,Львівська область,Дрогобич,"пров. Зелений, 5.",null,49.355478,23.496537,Липа,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0014,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,ДСНС,08797297,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 37",null,49.354031,23.494960,Яина,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0015,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,ДСНС,08797297,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 37",null,23.494858,49.353958,Береза,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0016,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Відділу освіти ,02144660,Україна,Львівська область,Дрогобич,"вул. Самбірська, 70",null,49.364740,23.494799,Верба,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0017,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Г.Брама, 148",null,49.347116,23.480256,Вишня,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0018,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Коновальця, 7/2",null,49.359880,23.531910,Верба,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0019,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Самбірська, 102",null,49.363650,23.493710,Верба,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0020,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Нижанківського, 5",null,49.354776,23.504814,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0021,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого, 15",null,49.357173,23.531818,Верба,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0022,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Стрийська, 179",null,49.351903,23.527929,Верба,5,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0023,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Млинарська, 2",null,49.351337,23.529244,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0024,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Грушевського, 10",null,49.353853,23.514524,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0025,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Міцкевича, 11",null,49.351494,23.501531,Алича,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0026,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Симоненка, 21-23",null,49.356432,23.557943,Тополя,5,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0027,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Трускавецька, 79",null,49.327649,23.515103,Дуб,6,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0028,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 14",null,49.353832,23.496145,Горіх,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0029,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Кн. Ольги, 4.",null,49.355747,23.514958,Дуб,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0030,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Війтівська Гора,108",null,49.34763,23.51675,Ялина,1,1,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0031,2019-12-4,Дрогобицька міська рада,58-р,2019-10-7,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Трускавецька, 97",null,49.32026,23.51267,Ясень,1,1,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0032,2019-12-4,Дрогобицька міська рада,58-р,            2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Лисенка,null,49.3541,23.50716,Тополя,3,3,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0033,2019-12-4,Дрогобицька міська рада,58-р,           2019-10-24,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Трускавецька,біля виправної колонії,49.32828,23.51524,Ясень,2,2,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0034,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Грушевського 95/1,null,49.35409,23.53358,Верба,1,1,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0035,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Грушевського 117,null,49.35600,23.54223,Горіх,4,4,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0036,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Січових Стрільців,навпроти памятника,49.35559,23.49745,Ясень,1,1,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0037,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Бориславська,біля музичного коледжу,49.34937,23.50507,Верба,10,10,0,10/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0038,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Козловського,11",null,49.34220,23.51118,Черешня,1,1,0,10/10/2019,2019,Дозволено розпорядженням міського голови
НС,00-0001,,Дрогобицька міська рада,,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Зварицька, 9",null,49.35033,23.49653,Верба,1,1,0,1/10/2020,2020,НС
НС,00-0002,,Дрогобицька міська рада,,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого,92",null,49.35601,23.54025,Яблуня,1,1,0,1/11/2020,2020,НС
229-р,00-0003,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Стрийська, 11-27",null,49.35139,23.51390,Каштан,15,15,0,4/3/1900,2020,Дозволено розпорядженням міського голови
229-р,00-0005,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого, 2",null,49.35748,23.51132,Тополя,1,1,0,4/3/2020,2020,Дозволено розпорядженням міського голови
664-р,00-0006,2019-12-4,Дрогобицька міська рада,664-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. П.Орлика, 14",null,49.35564,23.51302,Вишня,2,2,0,4/12/2020,2020,Дозволено розпорядженням міського голови
229-р,00-0007,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Шашкевича,null,49.34759,23.50440,яблуня,1,1,0,4/15/2020,2020,Дозволено розпорядженням міського голови
540-р,00-0008,2020-9-22,Дрогобицька міська рада,540-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого,78",null,49.35625,23.53875,Черешня,2,2,0,7/10/2020,2020,Дозволено розпорядженням міського голови
327-р,00-0009,2020-6-3,Дрогобицька міська рада,327-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Стрийська, 103",null,49.35146,23.52176,Ясен,2,2,0,8/22/2020,2020,Дозволено розпорядженням міського голови
327-р,00-0010,2020-6-3,Дрогобицька міська рада,327-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Січових Стрільців, 8",null,49.35490,23.49743,"Горіх, Яблуня",2,2,0,9/22/2020,2020,Дозволено розпорядженням міського голови
75-р,00-0011,2020-1-27,Дрогобицька міська рада,75-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 48",null,49.35523,23.49212,Смерека,2,2,0,9/22/2020,2020,Дозволено розпорядженням міського голови
627-р,00-0012,2020-11-4,Дрогобицька міська рада,627-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Княгині Ольги, 1",null,49.35607,23.51468,"Горіх, Алича, Клен",2,2,0,9/22/2020,2020,Дозволено розпорядженням міського голови
75-р,00-0013,2020-1-27,Дрогобицька міська рада,627-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Грушевського, 68,70",null,49.35333,23.52874,"Черешня, Клен, Ясен",3,3,0,1/27/2020,2020,Дозволено розпорядженням міського голови
НС,00-0014,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,вул. В. Великого,null,49.35590,23.52496,Ясен,1,1,0,3/27/2020,2020,НС
НС,00-0015,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Зварицька, 9",null,49.35032,23.49672,Клен,1,1,0,3/27/2020,2020,НС
НС,00-0016,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Коновальця, 16",null,49.35967,23.53391,Тополя,1,1,0,3/27/2020,2020,НС
294-р,00-0017,2020-4-15,Дрогобицька міська рада,294-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Грушевського,13",null,49.35409,23.51720,Липа,3,3,0,1/27/2020,2020,Дозволено розпорядженням міського голови
327-р,00-0018,2020-6-3,Дрогобицька міська рада,327-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Шевченка,31",null,49.35379,23.49892,Каштан,1,1,0,1/27/2020,2020,Дозволено розпорядженням міського голови
327-р,00-0019,2020-6-3,Дрогобицька міська рада,327-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська область,Дрогобич,"вул. Шевченка,12",null,49.35291,23.50375,Каштан,1,1,0,1/27/2020,2020,Дозволено розпорядженням міського голови
